Feature,Confirmed,Tentative
Feature_1,True,False
Feature_2,False,False
Feature_3,False,False
Feature_4,False,False
Feature_5,False,False
Feature_7,False,False
Feature_8,False,False
Feature_9,False,False
Feature_10,False,False
Feature_11,False,False
Feature_12,False,False
Feature_13,False,False
Feature_15,False,False
Feature_16,False,False
Feature_17,True,False
Feature_18,False,False
Feature_19,False,False
Feature_20,True,False
Feature_21,False,False
Feature_22,True,False
Feature_23,False,False
Feature_24,False,False
Feature_25,False,False
Feature_26,False,False
Feature_27,False,False
Feature_28,False,False
Feature_29,True,False
Feature_30,False,False
Feature_31,False,False
Feature_32,True,False
Feature_33,False,False
Feature_34,True,False
Feature_35,False,False
Feature_36,True,False
Feature_37,False,False
Feature_38,False,False
Feature_39,False,False
Feature_40,False,False
Feature_41,False,False
Feature_42,False,False
Feature_44,False,False
Feature_45,False,False
Feature_46,False,False
Feature_47,False,False
Feature_48,False,False
Feature_49,False,False
Feature_51,False,False
Feature_52,False,False
Feature_54,False,False
Feature_55,False,False
Feature_56,False,True
Feature_57,True,False
Feature_58,False,False
Feature_59,True,False
Feature_60,True,False
Feature_61,False,False
Feature_62,False,False
Feature_63,False,False
Feature_64,False,False
Feature_65,True,False
Feature_66,True,False
Feature_67,False,False
Feature_68,False,False
Feature_69,False,False
Feature_71,False,False
Feature_72,False,False
Feature_73,False,False
Feature_74,False,False
Feature_75,False,False
Feature_76,False,False
Feature_77,False,False
Feature_78,False,False
Feature_79,False,False
Feature_80,True,False
Feature_81,False,False
Feature_82,True,False
Feature_83,False,False
Feature_84,False,False
Feature_85,False,False
Feature_86,False,False
Feature_87,False,False
Feature_88,False,False
Feature_89,False,False
Feature_90,False,False
Feature_91,True,False
Feature_92,True,False
Feature_93,False,False
Feature_94,False,False
Feature_95,False,False
Feature_96,False,False
Feature_97,False,False
Feature_99,False,False
Feature_100,False,False
Feature_101,False,False
Feature_102,False,False
Feature_103,True,False
Feature_104,True,False
Feature_105,False,False
Feature_106,False,False
Feature_107,False,False
Feature_108,False,False
Feature_109,False,False
Feature_110,False,False
Feature_111,False,False
Feature_112,False,False
Feature_113,False,False
Feature_114,False,False
Feature_115,False,False
Feature_116,True,False
Feature_117,False,False
Feature_118,False,False
Feature_119,False,False
Feature_120,False,False
Feature_121,False,False
Feature_122,True,False
Feature_123,True,False
Feature_124,False,False
Feature_125,True,False
Feature_126,True,False
Feature_127,True,False
Feature_128,True,False
Feature_129,False,False
Feature_130,True,False
Feature_131,True,False
Feature_132,False,False
Feature_133,False,True
Feature_134,False,False
Feature_135,False,False
Feature_136,False,False
Feature_137,False,False
Feature_138,False,False
Feature_139,False,False
Feature_140,False,False
Feature_141,False,False
Feature_143,False,False
Feature_144,False,False
Feature_145,False,False
Feature_146,False,False
Feature_147,False,False
Feature_148,False,False
Feature_149,False,False
Feature_151,False,False
Feature_152,False,False
Feature_153,True,False
Feature_154,True,False
Feature_155,False,False
Feature_156,False,False
Feature_157,False,False
Feature_158,False,False
Feature_159,False,False
Feature_160,False,False
Feature_161,False,False
Feature_162,False,False
Feature_163,False,False
Feature_164,False,True
Feature_165,False,False
Feature_166,False,False
Feature_167,False,False
Feature_168,False,False
Feature_169,False,False
Feature_170,False,False
Feature_171,False,False
Feature_172,False,False
Feature_173,False,False
Feature_174,False,False
Feature_175,False,False
Feature_176,False,False
Feature_177,False,False
Feature_178,False,False
Feature_181,True,False
Feature_182,False,False
Feature_183,True,False
Feature_184,True,False
Feature_185,False,False
Feature_186,False,False
Feature_188,False,False
Feature_189,False,False
Feature_196,False,False
Feature_197,False,False
Feature_198,False,False
Feature_199,False,False
Feature_200,False,False
Feature_201,True,False
Feature_202,False,False
Feature_203,False,False
Feature_204,False,False
Feature_205,False,False
Feature_206,True,False
Feature_207,False,False
Feature_208,False,False
Feature_209,False,False
Feature_210,False,False
Feature_211,True,False
Feature_212,False,False
Feature_213,False,False
Feature_214,False,False
Feature_215,False,False
Feature_216,False,False
Feature_217,False,False
Feature_218,False,False
Feature_219,False,False
Feature_220,False,False
Feature_221,False,False
Feature_222,False,False
Feature_223,False,False
Feature_224,False,False
Feature_225,False,False
Feature_226,False,False
Feature_228,False,False
Feature_229,False,False
Feature_239,False,False
Feature_240,False,False
Feature_245,False,False
Feature_246,False,False
Feature_247,False,False
Feature_248,True,False
Feature_249,False,False
Feature_250,False,False
Feature_251,False,False
Feature_252,False,False
Feature_253,False,False
Feature_254,False,False
Feature_255,False,False
Feature_256,False,False
Feature_268,False,False
Feature_269,False,False
Feature_270,False,False
Feature_271,False,False
Feature_272,False,False
Feature_273,False,False
Feature_274,False,False
Feature_275,False,False
Feature_276,False,False
Feature_278,False,False
Feature_279,False,False
Feature_280,False,False
Feature_281,False,False
Feature_282,False,True
Feature_283,False,False
Feature_284,False,False
Feature_286,False,False
Feature_287,False,False
Feature_288,True,False
Feature_289,False,False
Feature_290,False,False
Feature_291,True,False
Feature_292,False,False
Feature_293,False,False
Feature_294,False,False
Feature_295,False,False
Feature_296,False,False
Feature_297,False,False
Feature_298,False,False
Feature_299,True,False
Feature_300,False,False
Feature_301,False,False
Feature_302,False,False
Feature_303,False,False
Feature_304,False,False
Feature_305,False,False
Feature_306,False,False
Feature_307,False,False
Feature_308,False,False
Feature_309,False,False
Feature_310,False,False
Feature_311,False,False
Feature_312,False,False
Feature_313,False,False
Feature_317,True,False
Feature_318,False,False
Feature_319,False,False
Feature_320,True,False
Feature_321,False,False
Feature_322,False,False
Feature_324,False,False
Feature_325,False,False
Feature_332,False,True
Feature_333,False,False
Feature_334,False,False
Feature_335,False,False
Feature_336,False,False
Feature_337,True,False
Feature_338,False,False
Feature_339,False,False
Feature_340,False,False
Feature_341,False,False
Feature_342,True,False
Feature_343,False,False
Feature_344,False,False
Feature_345,False,False
Feature_346,False,False
Feature_347,True,False
Feature_348,False,False
Feature_349,True,False
Feature_350,False,False
Feature_351,False,False
Feature_352,True,False
Feature_353,False,False
Feature_354,False,False
Feature_355,False,False
Feature_356,False,False
Feature_357,False,False
Feature_358,False,False
Feature_359,False,False
Feature_360,False,False
Feature_361,False,False
Feature_362,False,False
Feature_363,False,False
Feature_364,False,False
Feature_366,False,False
Feature_367,False,False
Feature_368,False,False
Feature_369,False,False
