,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109
Feature_1,-0.006070861813366359,-0.02488029291876453,-0.00992275939940437,0.010423212534285195,0.011391011628328375,-0.014712053765960627,0.00851446573571162,-0.00941700934217688,0.0170441384615216,-0.005928711469953646,0.004184005311405027,0.006674250644573794,-0.014845184917673917,-0.017337908208977095,-0.012984475820820388,0.051644165038128596,-0.0332888263992494,0.013960924660252765,-0.03434050662476283,-0.012455493210777971,-0.05827112342248022,0.01563168868713405,-0.007607584918049339,-0.012419895034071942,0.01046233382645789,0.03167236908205376,0.005336068532876945,-0.0035971028069414195,-0.029428031311681042,-0.06085079102373016,0.009822951519346939,-0.03499808276074622,-0.0034097206463615027,0.005015596328057793,-0.028140712031307514,-0.015517466589073646,0.03896012932822182,0.02738502911842298,-0.01910143190888032,-0.017906159799652814,0.0027962904341312074,0.013028159972877111,-0.022140417470312673,0.0034768777936696974,-0.001793617057544777,-0.0003743522286735959,0.012923510724330052,-0.03392661206621775,0.004541701652760947,0.014297069911488462,-0.018174973771762394,0.021852449584173636,-0.034823958758558565,0.03395758219931551,0.014139267788390716,0.0372420952242966,0.03296343867309697,0.010499202067630284,-0.007315686586549134,0.008076716874417049,-0.010491799475833218,0.028567260690913046,0.04647220178857093,-0.02314338843591095,0.03486250197635333,0.015148556864885093,0.020606877528153725,0.08166706533771882,0.008412101168195962,-0.01390569151508498,0.003435424854567048,-0.018581529731271147,-0.010263411862520782,0.02965888973768885,0.03637875182401183,-0.01010802085613696,0.007519131016796282,0.057601342041568214,-0.06352025972258597,-0.03163051625959931,0.08243931541145032,0.0001539857550652569,-0.07828917009964834,-0.00902858808577887,0.016512351854274337,0.01090766908968625,0.06780631300819354,0.048310652652033395,-0.06269618785085013,-0.03194995166380586,0.07939830213772775,-0.1351579161332802,0.06839347657949234,-0.1538377424137547,0.13320622603256563,0.07631684625513639,-0.0810989961081291,0.08482823525598848,-0.03653846835792818,-0.028715517069908672,0.09132158717301186,-0.024557567184713167,-0.17080473446360517,-0.03411700685396699,0.08801407459646446,-0.07994550295416478,0.06745666194817382,0.07189959620558088,-0.05946023309980683
Feature_2,-6.724096985016859e-06,0.012919721723268163,-0.0029936858605693895,0.0064967893149804334,-0.0128978963234809,0.005843285205841153,-0.003043385921074837,0.0013480394905435178,0.016330640958874876,-0.0011232316343083235,0.0007089027773533076,0.009162877915959718,-0.0037896289301233704,0.01971267685023323,0.007723334264772494,-0.035294500364380366,0.011904704399977983,-0.0265361080080736,0.024854626419310966,0.00915622792492711,0.03575127098024394,0.006844855469582342,-0.0016860804537271457,-0.020079417366142008,-0.00047424937712942095,-0.017170841995118202,-0.012442871135807554,-0.05080321322244785,0.04641791256528438,-0.0067331251854967356,-0.0182919878226145,0.021104950266891395,0.008272697510784247,-0.005813082760065015,0.0048114984582290216,-0.004575199487032902,-0.009548796943492088,-0.044597613048084364,0.028385843731098995,-0.043074163236475685,0.010094828532589665,-0.01437001103350457,0.04064330561556296,0.05722212379234654,-0.0044934825079878836,-0.02106867090244023,0.04308156407861842,0.01424578898869247,-0.024633788224624534,-0.033110350722627996,0.007847265288413965,0.0038741959799669656,0.029736369599714194,0.02261693257946583,0.003191665166110795,-0.047199777378948385,0.02332035001698366,-0.00927180827999962,0.011234774396030761,-0.02641516844650214,-0.02243537592960386,-0.0001275077508191419,0.026334327689544614,0.024801665825226832,-0.0296490485125413,-0.03886340954872382,-0.014736646454477802,-0.05602835633219505,0.03342070452477792,-0.059262261367630534,-0.026562346607847304,0.00955562904959659,0.03350835789466681,-0.03874564894712487,-0.041602809345933994,-0.07754099677449128,0.04645593389737507,-0.10208393482576988,-0.02352968812346684,-0.028771862097478805,-0.010615523381305794,-0.00594382902072549,0.040939387663499735,-0.01492912382342574,0.00351792356032774,0.04328189261337379,0.034245662254290564,-0.037749684170852775,0.004762075616741551,-0.13103077285940826,-0.11620670443480886,0.059630560959924986,-0.032822655838222345,0.11822250813449703,-0.14090710935731446,-0.0009800320607457058,0.24171650414198612,0.09867197387935928,0.025662619345385038,-0.042781846218029995,-0.05896078018515921,0.11156924123364514,0.10155170049626638,0.13430630568646917,0.08073647806272093,0.13295108372196446,0.1644499483732301,0.12992325986208902,0.013056722293976482
Feature_3,-0.003859555065020892,0.008976609165028626,-0.00832425426757688,0.012984312593371808,-0.0013264567999948657,-0.0005751116552133173,-0.004107545981442468,0.014457978334188762,-0.012296215828336758,-0.05350020624758186,0.05122175189132241,-0.010461960389653007,0.0021832874629323686,-0.02419642786640125,0.023108407563608904,0.014489660098379542,-0.0055218882300236555,0.0430815403245867,0.031153499901764053,-0.02265378500549231,-0.004180504250483191,-0.0025245333695307973,-0.025502370658783698,0.01300437468312738,0.037621465438081245,0.012955690229853059,0.0209001902021378,0.03592757718370188,-0.023530941906414207,0.02112776991600128,0.029893660712828667,0.02665328155504125,0.015606175414579471,-0.016571301032706074,-0.012589670491387706,0.012826698275981069,-0.03132249542409089,-0.00742904775923782,-0.006853534187094189,0.018475616538746877,0.0005350030880521515,0.015261754929005972,0.03310481512963073,0.043930985335878095,0.019397423593349727,0.039147189572276475,0.009833306399098546,-0.004364752897678181,-0.008302577737817191,-0.056451082659884314,-0.03703124315407501,-0.024717198794289803,0.06035227346532999,0.029732885505071978,0.025899640986001008,0.05295015922745745,-0.02356255359232577,0.01994389634741493,0.053833736852425366,0.0728264103151494,0.004690561552972513,-0.01172866899607368,-0.018425559352501446,0.0951223787982664,-0.13637889583616225,0.0018810539659580572,0.03563113477258381,0.014505711630856136,0.009917944581878715,-0.09447916859666594,-0.10370371899836434,0.05573146985183687,-0.1138656016326437,0.017920489118315702,-0.0005207157491339612,0.06510128573772897,0.09481471816006014,0.08840084752224939,0.12620860589079272,-0.005791323871690658,-0.12592514340473282,-0.02539784196546822,-0.05570479740113814,-0.05141450238780171,0.006883371816387698,0.004657780004309189,0.061480505759839855,-0.019160844506216954,-0.1974304449720703,-0.016030307390818656,-0.04708297988072305,0.023215723941058468,-0.18297989986106167,-0.054493272040594176,-0.03240042821430354,-0.10903762717118237,0.012104077863257463,0.04303206171197124,-0.037412115043367014,-0.006986685193206549,0.02663659236931587,-0.036997493330301556,0.041997215920703684,-0.010721089938389355,0.04580184225055406,0.02057203157932023,-0.052739666015037004,-0.04616412665474573,-0.002955679513505463
Feature_4,0.0022336763747854427,-0.033020781161636786,-0.025499801622737767,0.031339138951491735,-0.007484589364350397,-0.01998549674559741,0.02180310414410082,-0.023845905259956487,0.020608883748301554,-0.0305588566707777,-0.036545881131490404,-0.04099250476989115,-0.007931029742770462,-0.039233973596334404,-0.0315379908623376,0.06082628714675664,0.013604312100412352,0.03544535036326307,0.02681611537262918,-0.061086831573775854,0.02398502934300633,0.05896687348124486,0.009557958194638798,0.041329979707135964,0.0426112380771312,0.017886565369803598,0.028906533934057146,-0.07371174288384946,-0.11946362936289923,0.03519169938829277,-0.02730511227549296,0.03615698181561695,0.043400264687631945,0.028738040543773796,0.001335845233914515,-0.05480579981128663,-0.053927052122177084,-0.05509708838846154,-0.017788178701138916,-0.019049242861493055,0.04592599474819366,-0.040725633891296666,0.06644232959660928,0.02373179564695817,-0.012782706739171241,0.05190549222712185,0.026998820731486954,-0.02632762096934781,0.010410350721177648,-0.030124692751326718,0.01699918977578124,-0.04697767238214649,0.020749277912680462,-0.01827274127579137,-5.0989083626291204e-05,-0.055617012241442616,-0.05481443141444903,0.017896179802826664,0.029442707438512156,0.02423277120423443,0.0439458582194342,-0.007292817211131224,-0.033363019790842545,0.045468535080531725,-0.0869463918813875,-0.07313971893393176,0.027626967403000337,-0.028195929619662566,-0.05731677851232616,-0.028712680392175637,0.009800617508612722,0.021663227353107512,-0.11331560892557477,-0.054780296704349536,0.007657285729068552,0.040274472201324484,0.007796203742098799,0.03733251870619459,0.12539005639245315,-0.0688627072062424,-0.16942565224072198,-0.11269189093316709,0.06933931137505914,-0.06657736494675298,0.022782582092019395,0.08070845293606294,0.028616299007464888,-0.032277667414053614,-0.19520076157099786,-0.024326210754009033,-0.02406227367787441,0.021233142834010107,-0.1992310882971365,-0.06991974328907008,0.01086720105807254,-0.016420945575255946,0.038746574580296116,0.06381390236931553,0.09487070559094832,0.03492382999881827,0.06546345094239063,-0.08983709608913606,0.01782425958832287,-0.07405022695886743,0.03126462135717869,0.053981038430711725,-0.04818698240260232,-0.07405078324635629,-0.03398629086044918
Feature_5,0.0007030872128589993,-0.008897465212932998,-0.02169999454956898,0.031331415303532575,-0.010409714404197357,0.005420966798703394,-0.00989245928247634,-0.005412847259164744,0.01092337415555672,-0.02897225422168078,0.2382729930917925,-0.06828396319400877,0.18241833755312123,0.023155298151397816,0.09870637918727732,-0.06072332528082325,0.008300590418224008,-0.04798161987043152,-0.03926091891270017,-0.03440338242576001,0.01681480904490082,0.013262012214590273,0.07129018604082092,-0.030254835465849672,-0.0061180444067670085,-0.020352559718061825,0.037965130230664786,0.06266492789915103,-0.05342697547950209,0.01593847621373072,-0.0224361720691908,0.03159712869037369,-0.038851720651254605,-0.0164758457245943,0.009383623306801214,-0.00708706468124207,0.030887895533131274,0.034894035443503654,-0.0015344926216062475,-0.025569220163870886,-0.06325005380251666,0.024691490216985534,-0.019471091864561203,0.018653459574412796,0.002328919626882933,0.024470514410928144,0.025020714169374292,-0.0008687673360183112,-0.02706275562146463,0.02124159154355799,0.005490635721581233,0.00461221137831758,0.023920969297599654,0.026169464569748852,-0.036317146138434835,0.022469387523073158,0.02692481500056107,-0.007434943014302505,-0.012851900694351805,0.056154467106796294,-0.037346670743113056,0.04536209917497536,0.03508273411834964,-0.004488409139524016,0.029962674243143073,-0.018416960548395513,-0.021492169393405997,0.037474034427422295,0.016424435351772994,0.022420352291262748,-0.025372991017486267,0.00934787457962219,-0.018949260360526268,-0.04077041773173813,-0.03880667339707719,-0.00794248442757064,-0.03575116871578109,0.02293583021032681,0.010111989119635206,0.01688238242682891,-0.001921027748059842,-0.012229713675945025,0.01255460839078068,-0.00286574238636589,0.01901521266921321,0.0175364309943567,0.002437274217904989,0.02365761272613858,-0.02189754428907513,-0.024329994586664436,-0.01195234173350284,-0.021170037447522827,-0.026483912108391506,-0.030298821444873558,0.014583908724614514,0.0015777815689829167,-0.0010649416172237233,0.03307951986631873,0.025057292582296112,-0.0024587966899450725,-0.014255236598396205,-0.008459527933501926,0.002250035179497012,-0.008854036150569802,0.022828918941578465,-0.026065320390264907,0.01754132570631295,-0.02167309838166278,-0.02176793070879593
Feature_7,0.0008528526438531248,0.03744913256585802,0.03978366668570438,-0.04113092940805091,0.005501712908161871,0.025851013401447576,-0.03192730407338534,0.011120381575799587,-0.020127233784790144,0.029531171908937497,-0.025268729169799185,0.03893780878319653,-0.031273412069808756,0.031022781027648546,0.021700532621901084,-0.04120958991425,-0.016929547105796694,-0.024782200688778115,-0.01109033463294297,0.042984777776211056,-0.03598938375991054,-0.07172695625129982,-0.014199097158349695,-0.04570817661873821,-0.038406408894154545,0.015855143691759943,-0.04058264363655488,0.07134028270705832,0.11485660656363936,-0.034765139091694514,0.04883126188113408,-0.017750175091532025,-0.04995677800294989,-0.03758475844852385,0.03411637503714498,0.06110491959092445,0.0429267842304909,0.04149286277161825,0.037225285100114455,0.04612830847087197,-0.06687201735847709,0.04046504356961135,-0.0759871882211488,-0.0005491769558168625,0.009063025030519863,0.0062596333817901235,-0.05551517818449778,0.00750139950330235,-0.0366104528524626,0.004315382887428967,-0.03205439404921293,0.022052154265596015,0.021471391553707593,0.022316539757327107,-0.0017705092067815918,0.053881461607143945,0.07273254873847063,0.0038964845864181436,-0.04185405187488424,0.01115395579357411,-0.0327629773679613,0.05651252292017845,0.009706055637258716,-0.03006466717024906,0.053079855775564525,0.0326636923945661,-0.037776968481226705,0.04955093349184785,0.04425088685375998,0.0269613327822482,-0.0783045512400435,-0.012091338717895667,0.08857160705488829,0.04373487648151261,-0.015296102092678846,-0.05484113361351108,0.021772447271594646,0.01556024965202931,-0.10729769965722502,0.04436047383677437,0.1341944498024181,0.08429361281576324,-0.061083945593923175,0.04336538666863175,-0.008304175484578286,-0.07064740705208696,-0.023866862968369013,0.07385677351480674,0.1656062360588621,0.017883012613291352,-0.03938057180424715,-0.006850199068647825,0.1422703094772366,0.03378362727486518,-0.0248381744552754,-0.030439726446802335,-0.08247619994638639,-0.01903205915470263,-0.11820686653833688,0.0012478816471696123,-0.08445177911310423,-0.011918230529145812,-0.057296175842623226,0.038386457040733374,0.029376932988378922,-0.036340910580993424,0.046891844528790624,0.027926393256760267,0.008162605491855886
Feature_8,0.0022086014601954,0.007883021500869822,0.017895191734696836,-0.024568999540972025,0.004372529055348184,-0.009596216141348627,-0.0037141123769266204,-0.00907420830613602,-0.0009714017130630082,0.029935506306257978,-0.12614589535774662,0.004481100960311811,-0.07692475249389338,0.020390984795985875,-0.018862428193488323,0.017842930218425757,-0.024468596108150387,0.016513839739352325,0.014348478932459718,0.002383442368522011,-0.023601123018498177,0.05947290554268481,-0.026036362456228215,-0.02025295550527423,-0.009639991824265592,-0.025190418413227438,-0.04926367914921999,0.011498604858393935,0.019318779581704568,-0.029148706641089484,-0.057011636916620576,-0.03359458701158116,0.06550980167678219,0.04043931822733887,0.035416321945604734,-0.002244022743952058,0.03622564557894438,-0.01649180395882588,-0.013892023359585545,-0.030023046531174276,0.01411389536193144,-0.04520575391990047,-0.00039546787975917874,-0.0625374510793664,-0.034725394328557826,-0.04724136270260335,0.0018730556656859632,-0.020962501082762236,0.04642994306926292,-0.013981191532420938,0.03083313084987807,0.033303918061633075,-0.01943490855387267,0.002779817717540073,-0.027007557353994682,-0.0656420984213663,0.019010026790186346,-0.018033470315507918,0.009677163061450753,-0.06532884281885667,-0.017915122355170975,-0.02925492778992471,0.006248396470923484,-0.01830862302529425,-0.017952512186186625,0.008746958130585389,0.018838356869709465,-0.03250932482925978,-0.0016591141005961145,0.003928178865756686,0.06557341879751181,0.01405385872355331,0.009800854977659694,-0.05606007138408176,0.020847622324559473,-0.0148970015656581,-0.07911908278246431,0.019150255254658688,-0.06193686668161614,-0.022224089190266083,-0.02567622458347392,-0.06087054083663947,-0.0027681640296445403,-0.049775483405215724,0.0033197811701322424,0.09653663348948484,-0.053577385793306266,-0.02220171503590389,-0.03820708265335948,-0.02232673423917824,0.026984609237696126,-0.024019181892069197,0.004967747962489332,-0.05085051245323359,0.08142995825509325,0.02711415703087842,-0.033148100267545645,0.043146351206522604,-0.0292453184019702,0.07398852535219233,0.021669146229209818,-0.017012447330175935,-0.06458630344455472,-0.08487814094390904,0.1083459590104035,0.047158568418857176,-0.04456662722306662,-0.03585261889545266,-0.037821240493127406
Feature_9,-0.005380582537496443,0.03685570126483483,0.029154166564458683,-0.02670357765063766,-0.002522158981867889,0.015535376362689701,0.006735813730814361,0.000313069949967798,0.013679331851683851,0.02873803155927729,-0.007849038949809737,0.0408854317568917,-9.240139471850331e-05,0.009101982162877931,0.020704431129629688,-0.010368926563015718,0.017201014364505746,0.022253000656225423,0.03689842715955462,0.02949312649440266,0.03493436504723085,-0.004410332681234232,0.00957411310686894,-0.03719531776760397,-0.00017720506179776455,-0.030693274198562936,0.018347450229103855,0.03751997421818032,-0.01697405291718991,-0.01231094498033912,0.006333773717674704,0.005815486847562855,-0.017464726208809615,-0.019050463455548738,0.01999495586962962,-0.0019268670199263033,0.016865339618924037,0.004450011138272175,0.006232390354542811,0.007376487578917484,-0.025665402626908716,0.048386639359802495,0.006133237785779618,0.011139183771461787,0.02533290943626913,-0.049381139052685756,-0.002985945753127576,0.015169895315414642,-0.025532034173916782,-0.04382764624459587,-0.021066157646318175,0.048492033646067585,0.03103607992123697,0.13271240778349772,0.018202990991751454,0.026740462363451636,-0.03670401153456791,-0.026438124451839976,0.06899398501409491,0.007935091451648705,-0.06110842634746151,0.005745889786680683,-0.08351555446280366,-0.022761931879821354,-0.07349596724022067,0.06155690123266394,0.035521469819252575,0.018216588210081402,0.011635687761852273,-0.01162460344809995,-0.023038051204118053,0.00931483408442944,0.052718559748404725,-0.033539232981415396,0.03288188656322251,-0.028827011357904386,0.04130198568651643,-0.07488852849675097,0.005085630082140927,-0.012914920350978791,0.060488463080025395,-0.14123647953172605,-0.06565718014750398,0.053342529164431544,0.09899470221868546,-0.0010370976812695103,-0.06908180798968494,-0.0556811300393029,-0.01189497662801619,0.006728382571318917,0.1387735016947096,0.050096407878166514,0.0358476830887371,0.0216499741154147,0.09509857620443654,-0.003337199390883956,0.03400624540652267,-0.032297858632344544,-0.02230472782363797,-0.02888745128067556,-0.013309609149872184,-0.002801399542140778,0.11601412910816605,0.106873380400855,0.017648494270148245,-0.04035104086731879,-0.02163812667235743,-0.013151151267157189,0.03039376615053553
Feature_10,-0.004723727475041626,-0.01798356770032253,-0.011707746124444807,0.0008855057165847169,-0.009395828449376697,-0.007893155529902968,0.0003959222548887767,0.002494489203272901,0.016405724896002227,-0.02912430947384949,0.009348316591682192,0.015279298210116976,0.03692759925715129,-0.02483510644408901,-0.005025389463899674,0.010271444448129496,0.01977178580348128,-0.014985777346433152,0.009888803586771765,-0.018561472137074753,-0.012269755064412483,0.012935939064479306,0.01219987555612995,-0.004561799377133396,8.768989994865223e-05,0.0035677500718012956,-0.03724814725539112,-0.018465540851890387,0.007860493016524223,0.05323263891872071,0.0001844186883448798,0.008430523439868665,0.02695217807818287,-0.01354788939749492,0.022193353738674246,-0.004844976215278199,-0.016682670816603323,0.022976437581544426,-0.025737268281088355,0.008419941866063707,-0.015874763544189922,0.03904132286036226,-0.014909029760174275,0.047260892169769426,0.039173514095418714,0.012880668298626467,-0.03744427657147437,0.02859092662898137,0.021816327685968164,-0.009500162481686197,-0.041325189691101986,-0.034988747760149215,-0.027607803278386273,-0.06087730244262047,0.03303086899377123,-0.02283755635010349,-0.06208168735802358,0.007496505484803316,0.004541386590195558,0.04180585024960535,0.017872800837903303,0.029276621983576466,-0.00571314757961241,-0.003622501031712427,-0.0340592930430879,0.01604379722367765,-0.007562970229978316,0.009507692582124416,-0.06690556908970056,-5.696225451440329e-05,-0.024756912790874712,0.0039018044098829124,0.017764484539639226,0.031228844679766034,0.017069030356484105,0.02151582730706788,0.022019316984381497,0.10757317586070814,0.06338210507948111,0.07448830040742205,-0.09120844746856557,0.095539293884404,0.045744342816531385,-0.030369838676845194,0.03598707757180081,0.008817829616242384,0.06340817061537,0.10433487418148084,0.03615671391984318,-0.14300840574696375,-0.05493426639312313,-0.15202838615345676,0.13171505875995843,0.009399230071610004,-0.13086850547652176,0.17364147450044978,0.10276269403560725,0.07751403692888328,0.13075896266179032,0.1324150678791598,0.038996252641304026,0.005677719197106711,-0.0003507970118182685,-0.16885544543173936,0.03271964207714432,0.04896466167565898,0.19884034061371497,0.11518138643688523,-0.01693898822873874
Feature_11,0.00099418289686516,0.017982574314095487,-0.01633351223116908,-0.00936796562343234,0.020317351684436352,0.0003406573978422048,-0.008770774903432199,-0.007549945116592516,-0.010851529776601865,0.00390532997276255,-0.001952047037313949,0.00858327491387066,-0.00648963524019905,-0.01161902495820294,0.00987695482613812,0.019386300642732293,-0.011636456989109117,-0.02418006956165684,0.013354997442353453,0.010717748869393414,-0.005873991557550723,-0.004795570399233669,-0.000707016769629927,-0.004100090890239393,0.0032182672277667208,-0.003045626534771327,0.008775014274358069,-0.0029953001738430678,0.0064300558556919605,0.02624514435535394,-0.016008164928615377,-0.010226857945208688,0.02354216047626853,0.0047015777827052125,0.006185220166524702,-0.00948527285320264,-0.021891077016678556,-0.028831170236326725,-0.008342611156802349,-0.03671415638333849,-0.01603894259617802,0.01041561234096056,0.021269805894449836,-0.0443343225414261,0.010163674465673067,-0.043316313417057405,0.022456514995246802,0.04566361439869385,-0.03201897356170881,0.004632105195499746,0.048622945515211465,-0.012342714473609732,0.001972731336708805,0.02882205220122884,-0.02751306333886923,0.05493251323676237,0.057309046839837924,0.015898397881244815,0.010965627260448717,0.01828255644886597,-0.013884754743344059,0.044241397397382747,-0.0906944530736422,0.017988302011714245,-0.04509897702746873,-0.04404843223845016,-0.017142452861137913,-0.026979244446324907,-0.013698280137151495,0.04078001838818034,-0.05381999751547512,0.00595671084110215,-0.04364594602339752,0.023642037269003498,0.04359055374963105,-0.030289571163012476,0.08284391765237867,0.16309887269457968,0.013386796670042727,-0.1285725403171097,-0.017572865199953967,-0.13276035562674265,-0.02141866452911578,-0.04154272108715465,0.01275488336362519,0.011108769257950322,-0.024686752274214796,-0.01865360311185413,0.11419781051448821,-0.0671713945703362,0.030911742165908557,0.15560083718396,-0.0887934187786227,-0.13202171397910933,0.09254714694953588,-0.19053018133016678,0.03939753678078659,0.018181978386329914,0.0570260969945592,-0.13955666014761312,-0.045395276950518475,-0.13259124840873984,0.00043489573288452155,0.03532125440521779,0.025249531125555356,-0.045052309850431495,0.05184272333528068,0.057380618823910434,-0.011212038557679306
